station_name,type,lat,lng,operational_date
Jurong East,MRT,1.333207,103.742308,1988-11-05
Bukit Batok,MRT,1.349069,103.749596,1990-03-10
Bukit Gombak,MRT,1.359043,103.751863,1990-03-10
Choa Chu Kang,MRT,1.385417,103.744316,1990-03-10
Yew Tee,MRT,1.397383,103.747523,1996-02-10
Kranji,MRT,1.425302,103.762049,1996-02-10
Marsiling,MRT,1.432579,103.77415,1996-02-10
Woodlands,MRT,1.436984,103.786406,1996-02-10
Admiralty,MRT,1.436984,103.786406,1996-02-10
Sembawang,MRT,1.449133,103.82006,1996-02-10
Yishun,MRT,1.429666,103.835044,1988-12-20
Khatib,MRT,1.417423,103.832995,1988-12-20
Yio Chu Kang,MRT,1.381765,103.844923,1987-11-07
Ang Mo Kio,MRT,1.370025,103.849588,1987-11-07
Bishan,MRT,1.35092,103.848206,1987-11-07
Braddell,MRT,1.34055,103.847098,1987-11-07
Toa Payoh,MRT,1.332405,103.847436,1987-11-07
Novena,MRT,1.320089,103.843405,1987-12-12
Newton,MRT,1.31383,103.838021,1987-12-12
Orchard,MRT,1.304041,103.831792,1987-12-12
Somerset,MRT,1.300508,103.838428,1987-12-12
Dhoby Ghaut,MRT,1.299169,103.845799,1987-12-12
City Hall,MRT,1.293119,103.852089,1987-12-12
Raffles Place,MRT,1.284001,103.85155,1987-12-12
Marina Bay,MRT,1.276481,103.854598,1989-11-04
Marina South Pier,MRT,1.271422,103.863581,2014-11-23
Tuas Link,MRT,1.340371,103.636866,2017-06-18
Tuas West Road,MRT,1.330075,103.639636,2017-06-18
Tuas Crescent,MRT,1.321091,103.649075,2017-06-18
Gul Circle,MRT,1.319809,103.66083,2017-06-18
Joo Koon,MRT,1.327826,103.678318,2009-02-28
Pioneer,MRT,1.337645,103.69742,2009-02-28
Boon Lay,MRT,1.33862,103.705817,1990-07-06
Lakeside,MRT,1.344264,103.720797,1988-11-05
Chinese Garden,MRT,1.342436,103.732582,1988-11-05
Clementi,MRT,1.314925,103.765341,1988-03-12
Dover,MRT,1.311414,103.778596,2001-10-18
